time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-8.359375,2.1938103161331174e-06,2.1225688052802214e-06,2.660587766243887e-06
-8.3203125,2.372074511238377e-06,2.2858915050714057e-06,2.839863259940073e-06
-8.281249999999998,2.56482406040893e-06,2.4621287156412867e-06,3.032497760492872e-06
-8.2421875,2.773236011151511e-06,2.656277160870087e-06,3.239397280967223e-06
-8.203125,2.9985830551703036e-06,2.868982764232206e-06,3.4643812346799927e-06
-8.1640625,3.2422413001873353e-06,3.096334199210032e-06,3.706170789804343e-06
-8.125,3.5056986732811606e-06,3.3437803697967805e-06,3.968907091300117e-06
-8.085937499999998,3.790564007058979e-06,3.609814421933404e-06,4.251397578429103e-06
-8.046875,4.0985768641470855e-06,3.901212229180999e-06,4.55807858126074e-06
-8.007812499999998,4.431618159993421e-06,4.218577123270976e-06,4.889181984095597e-06
-7.96875,4.7917216488500196e-06,4.562980666800744e-06,5.2454409153667145e-06
-7.929687499999999,5.181086343075034e-06,4.940753573150789e-06,5.635344961227931e-06
-7.890625,5.602089941592416e-06,5.348205149854252e-06,6.051635257223285e-06
-7.851562499999999,6.057303349510184e-06,5.7904808431958424e-06,6.4985022481242515e-06
-7.812499999999999,6.549506377560697e-06,6.266417980581796e-06,6.985027944700556e-06
-7.7734375,7.081704717231092e-06,6.7877118014530645e-06,7.5169721722064216e-06
-7.734374999999999,7.657148295241863e-06,7.358213710462325e-06,8.09793845127995e-06
-7.6953125,8.279351119453413e-06,7.980550815114748e-06,8.731839316410818e-06
-7.656249999999999,8.952112737388854e-06,8.65050731889204e-06,9.420322408398732e-06
-7.617187499999999,9.679541438406644e-06,9.376203837365122e-06,1.01584195564828e-05
-7.578125,1.046607934120495e-05,1.016066725182913e-05,1.0950969766138383e-05
-7.539062499999999,1.1316529519851344e-05,1.1014710730287632e-05,1.1814365302984379e-05
-7.5,1.2236085333978091e-05,1.1930102859198419e-05,1.2742287226772746e-05
-7.460937499999999,1.3230362142243768e-05,1.2921383590759122e-05,1.3746405161571799e-05
