wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
-525.7103565960956,6.982002420950906e-24,5.2428728344970394e-24,5.3834751821098184e-24
-522.5048056412413,7.092150323449238e-24,5.206170628843852e-24,5.316151017377724e-24
-519.2992546863871,7.204819195753389e-24,5.311370253321728e-24,5.389460243627889e-24
-516.0937037315329,7.321744233159618e-24,5.699395410009333e-24,5.640451420645774e-24
-512.8881527766786,7.441269191593894e-24,5.8653185532475184e-24,5.8130577703837855e-24
-509.68260182182433,7.565610668151702e-24,6.375446662992055e-24,6.111998100400768e-24
-506.4770508669702,7.691763588050615e-24,6.4679791497707435e-24,6.3331060386131684e-24
-503.27149991211587,7.82447865228717e-24,7.229420675749667e-24,6.85525022251565e-24
-500.0659489572616,7.957732540631882e-24,7.668923208289098e-24,7.556652428342307e-24
-496.86039800240746,8.099412924896899e-24,8.963561141893367e-24,8.580234580766188e-24
-493.6548470475531,8.239945320590452e-24,9.846632855692142e-24,9.70125664789164e-24
-490.44929609269894,8.39196200712817e-24,1.0715162500692073e-23,1.0363368670583025e-23
-487.2437451378446,8.539852045335212e-24,1.1381847448716966e-23,1.1176815180849405e-23
-484.0381941829905,8.703611432596426e-24,1.115741579611604e-23,1.0999551238918865e-23
-480.8326432281362,8.858152980178256e-24,1.227788757924328e-23,1.1998033432138618e-23
-477.62709227328185,9.03603331018689e-24,1.1021354272387121e-23,1.1160698446637468e-23
-474.4215413184277,9.196016763471199e-24,1.3185998415890659e-23,1.2627366208215793e-23
-471.21599036357344,9.391368669559027e-24,1.002170607043904e-23,1.0798144939579705e-23
-468.0104394087192,9.554507860693783e-24,1.3831209896197406e-23,1.2479015250504335e-23
-464.804888453865,9.772307284296903e-24,7.57114473583233e-24,9.480238176121383e-24
-461.59933749901074,9.934064573101257e-24,1.3901475187596403e-23,1.1267587965479814e-23
-458.3937865441565,1.0181860353467911e-23,5.72779691416651e-24,8.586434479012893e-24
-455.1882355893023,1.0335091745110596e-23,1.4226046184301116e-23,1.0326914637539011e-23
-451.982684634448,1.0624808241281618e-23,6.481364241629678e-24,9.411312980688837e-24
-448.77713367959376,1.0756319078249914e-23,1.4393384386085275e-23,1.0090859640626984e-23
-445.5715827247395,1.1107394826010233e-23,8.194965602884517e-24,1.045577248485263e-23
-442.36603176988535,1.119518896730554e-23,1.63569551659096e-23,1.148605375268428e-23
-439.16048081503106,1.163859644724068e-23,8.140496170246637e-24,1.0556957175355418e-23
-435.9549298601768,1.1645712735862017e-23,2.1885330641608294e-23,1.4249107493837623e-23
-432.7493789053226,1.2232023315842278e-23,8.431442064283577e-24,1.0967046996939589e-23
-429.5438279504683,1.2097754652167626e-23,2.3152290605112488e-23,1.4762302012454014e-23
-426.3382769956141,1.2909379979644756e-23,1.1623175694591016e-23,1.2804294080849669e-23
-423.1327260407598,1.2531705834823358e-23,1.9231840497769327e-23,1.1730250808560752e-23
-419.9271750859056,1.3703462920710079e-23,1.992256536075196e-23,1.776385453006279e-23
-416.7216241310513,1.2915857376665373e-23,1.26314890300242e-23,6.644575964905742e-24
-413.51607317619704,1.466990839764031e-23,3.477193426986573e-23,2.410694404068691e-23
