transverse_pos_mm,intensity_0urad,intensity_100urad,intensity_200urad
1.0488633563496381,0.001192195797795864,0.008674734405409166,0.043397202224958874
1.0628012608144768,0.001018499618299814,0.007564071525768136,0.03894277064551924
1.0761039456589898,0.0008728692499663931,0.006626571851960426,0.03507646765905699
1.0887634600821081,0.0007509575176963229,0.00583450447652877,0.03171893263298872
1.1007722376971525,0.0006493147090331639,0.005165113000945766,0.028804057490189355
1.1121231010547372,0.0005650306703399058,0.004599480586551519,0.02627585395057868
1.1228092659334996,0.0004955469825951966,0.004121718229328143,0.02408614863621921
1.132824345396264,0.00043857560861525744,0.003718393228636132,0.022192992001935478
1.1421623536095171,0.0003920744311346721,0.0033781230098867705,0.020559609936278412
1.1508177094244398,0.0003542458475722016,0.00309127534192006,0.019153723828082236
1.158785239718358,0.0003235385057731536,0.0028497334569586885,0.017947092827753603
1.1660601824965637,0.000298642766550871,0.0026466999511255674,0.016915172040884732
1.1726381897566889,0.00027847735055204384,0.002476525002869933,0.016036819783682717
1.178515330122862,0.0002621684266189423,0.0023345522137259655,0.015294019061392723
1.1836880912695031,0.00024902397702702804,0.0022169798620387954,0.014671600884751786
1.1881533821900812,0.00023850646942809357,0.002120737472893395,0.014156970524326745
1.1919085354802554,0.00023020634848250771,0.0020433782334660713,0.013739844283989819
1.1949513102419773,0.0002238180956510936,0.0019829876300953542,0.013412006128831054
1.1972798983506165,0.00021911986586966044,0.0019381082185438044,0.013167092427094343
1.1988929519728508,0.00021595710522943654,0.0019076797464741683,0.013000409534575045
1.1997898655365582,0.0002142297656660949,0.0018909896124579735,0.01290876493749352
